Sample_ID	YieldPerPlant_BLUP	ScaleOfNeckBlastResistance_BLUP	ScaleOfNeckBlastResistance_BLUP_round	Subpopulation
D1027	18.84047553427271	4.513754259012025	5	japonica
D1044	20.478195935128088	4.052301293946654	4	japonica
D1047	20.217031811534877	4.5599832676734655	5	japonica
D1048	19.86684892812191	4.2794367653711305	4	japonica
D1056	20.262569131655617	4.409391436010424	4	japonica
D1063	19.87660075437805	4.567474937986538	5	japonica
D1066	20.926129196633916	4.228099355783583	4	japonica
D1076	20.234332126075536	4.29680572168356	4	japonica
D1077	20.74304352353494	4.005772022385836	4	japonica
D1090	21.285508623300835	4.591941513153387	5	japonica
D1096	20.970525567060175	4.216488344827738	4	japonica
D1099	18.819471284340892	4.474762061826783	4	japonica
D1105	20.53528629406404	4.379982413034189	4	japonica
D1107	19.459915705535106	3.764226785398544	4	japonica
D1112	20.35404574861295	4.227893071683969	4	japonica
D1124	21.181983609291763	4.102385843111182	4	japonica
D1126	19.910520848279504	4.014789167737432	4	japonica
D116	19.959485726212165	4.159436554954752	4	japonica
D1160	21.027982661596695	4.162117994595756	4	japonica
D1166	20.015536645726645	4.094963927642738	4	japonica
D1181	20.165446204024654	4.200986472052025	4	japonica
D1227	20.452151660489143	3.678554012053137	4	japonica
D1237	20.5649721506159	3.975529175362314	4	japonica
D1251	21.003581386239762	3.9694991861116784	4	japonica
D1323	20.59187450428134	4.073119817566435	4	japonica
D1356	21.723597866603363	4.317592031247823	4	japonica
D1358	21.116488120446125	4.557194659225714	5	japonica
D1404	21.697592153972426	4.214500712236804	4	japonica
D1461	21.75356029899671	4.016200308244262	4	japonica
D1508	22.35218640339249	4.180883442897644	4	japonica
D1516	22.20114684938942	4.142432543306717	4	japonica
D1518	22.4211434024607	4.014944213732993	4	japonica
D152	19.694642202181477	3.6935506060997607	4	japonica
D1521	22.04696166649672	4.058418413339579	4	japonica
D1680	21.99810325539336	4.082409133639072	4	japonica
D171	19.23940144015839	3.693409954967592	4	japonica
D1716	21.9243717047734	4.105853039370176	4	japonica
D1730	21.639313609360464	4.157346002261243	4	japonica
D1759	22.40649866208839	4.284371603561102	4	japonica
D180	19.663783723540387	3.860917716933952	4	japonica
D1900	20.061325957169625	4.057591311122773	4	japonica
D1917	18.981764699420967	3.5691193777121115	4	indica
D1925	21.325988818595214	3.88164175444601	4	japonica
D1941	20.235187330299375	4.074092517168029	4	japonica
D1951	21.143642961089434	3.942305577000837	4	japonica
D1962	17.944335954574537	4.351645078125425	4	japonica
D1977	21.557421237490797	4.331182684694218	4	japonica
D1996	21.173623187519894	3.8879972451670786	4	japonica
D2033	19.324388090994432	3.8538487609793264	4	indica
D2034	20.94105636158415	3.8575871133434387	4	indica
D2039	20.743740365785023	4.081783242442272	4	indica
D2113	20.731658165019322	3.9070594052126166	4	indica
D2161	19.543429713929132	4.186705245643811	4	indica
D2168	21.472325294588362	4.086715353851954	4	indica
D2301	22.43110746845756	3.255723226429002	3	indica
D2310	21.979695646175497	3.7305503512684397	4	indica
D2312	20.998217549709615	4.1539067079401	4	indica
D2386	21.49704537564645	3.59467140167487	4	indica
D2388	20.45436000458262	4.30270761567406	4	indica
D2419	21.31474174800034	3.8757249582841578	4	indica
D2440	20.813803271694677	3.7483221735153456	4	indica
D2442	22.466356712496168	3.6661492543789174	4	indica
D2443	21.558237582313254	3.9199336764046793	4	indica
D2475	21.274121034334886	4.344734085187135	4	japonica
D2496	22.93951597076153	3.2457425764326038	3	indica
D2530	21.83925162344179	3.614724017100634	4	indica
D2535	21.824128525821052	3.785996130964104	4	indica
D2571	22.330420429888637	3.657293306131907	4	indica
D2585	21.959764639379117	3.8082238926858616	4	indica
D2586	22.17773510093203	3.4719380062054723	3	indica
D2603	20.094324775951776	4.331462338207682	4	indica
D27	19.703383832698304	3.970797957905161	4	japonica
D2700	22.43506731085044	3.233342004049062	3	indica
D2728	21.797592213838303	3.586888346351737	4	indica
D274	18.82088350636162	3.768544800521517	4	japonica
D2803	19.879392633844617	3.9992479785947475	4	indica
D2809	19.094720255706875	4.506046602334585	5	indica
D2893	20.47968850292642	4.176893021890443	4	indica
D2897	20.1219270449322	3.7625543812918347	4	indica
D3009	19.401901692332824	4.457533946887007	4	indica
D304	18.518395383329683	3.7408088792004386	4	japonica
